-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: latitude  39.9042   longitude 116.4074 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 221.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2025,1,-3.05,58.75,0.0,6.43
2025,2,-4.06,57.34,0.0,10.07
2025,3,-3.94,54.39,0.0,10.28
2025,4,-2.12,57.14,0.0,7.71
2025,5,-1.36,53.61,0.0,8.25
2025,6,-3.16,55.86,0.0,10.08
2025,7,-2.92,53.49,0.0,9.76
2025,8,-6.51,44.22,0.0,10.78
2025,9,-6.82,49.1,0.0,10.9
2025,10,-6.17,49.25,0.0,10.75
2025,11,-5.18,62.07,0.05,8.59
2025,12,-4.32,55.68,0.0,10.04
2025,13,-1.69,56.32,0.02,9.76
2025,14,-4.59,44.82,0.01,11.1
2025,15,-5.75,49.2,0.0,11.19
2025,16,-2.45,52.56,0.0,10.46
2025,17,-0.81,55.75,0.0,10.59
2025,18,-0.7,53.15,0.0,9.99
2025,19,-0.03,48.75,0.0,10.81
2025,20,0.41,56.92,0.0,9.69
2025,21,0.74,55.59,0.0,10.23
2025,22,-0.88,63.35,0.0,10.22
2025,23,-0.91,65.69,0.0,8.93
2025,24,-1.15,74.13,0.0,8.91
2025,25,-2.05,78.5,0.62,5.66
2025,26,-3.28,50.31,0.94,6.32
2025,27,-8.21,37.44,0.0,12.96
2025,28,-7.85,42.94,0.0,12.65
2025,29,-5.95,56.79,0.0,10.91
2025,30,-7.96,71.4,0.0,4.85
2025,31,-6.5,79.23,0.0,5.77
2025,32,-5.12,84.93,0.0,4.6
2025,33,-3.49,55.34,0.0,11.87
2025,34,-6.58,42.05,0.0,13.45
2025,35,-6.92,43.29,0.0,12.38
2025,36,-6.94,40.29,0.0,13.9
2025,37,-7.97,43.45,0.0,8.47
2025,38,-11.73,33.58,0.0,14.85
2025,39,-8.36,41.54,0.0,14.71
2025,40,-6.82,47.66,0.0,13.71
