-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: latitude  25.033   longitude 121.5654 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 100.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2025,1,16.89,80.41,2.46,3.28
2025,2,17.89,81.72,4.74,7.79
2025,3,17.34,78.13,0.86,7.53
2025,4,17.82,72.41,0.11,12.18
2025,5,18.5,77.3,0.94,7.86
2025,6,16.76,71.58,0.04,13.2
2025,7,16.6,68.02,0.04,10.48
2025,8,17.43,75.46,0.71,5.5
2025,9,16.04,74.5,0.7,3.43
2025,10,13.48,75.95,0.49,3.48
2025,11,14.55,77.65,1.03,2.54
2025,12,14.88,64.88,0.14,16.07
2025,13,15.79,65.46,0.0,13.55
2025,14,18.41,76.25,0.76,15.52
2025,15,16.34,81.08,8.63,4.75
2025,16,14.29,76.12,0.15,6.86
2025,17,14.75,72.76,0.06,12.72
2025,18,17.09,70.9,2.06,10.93
2025,19,16.48,80.7,2.06,10.4
2025,20,17.06,69.26,0.0,14.17
2025,21,17.68,71.29,0.03,13.68
2025,22,19.24,78.05,1.63,5.72
2025,23,18.23,88.9,4.98,7.5
2025,24,18.5,86.27,1.17,10.41
2025,25,18.7,84.74,0.52,10.14
2025,26,17.45,80.94,3.43,3.47
2025,27,12.73,77.44,2.2,11.02
2025,28,14.0,67.54,0.01,14.06
2025,29,14.48,69.56,0.0,15.32
2025,30,16.95,73.15,0.1,15.99
2025,31,19.19,83.65,5.57,11.11
2025,32,19.75,90.16,6.99,11.73
2025,33,17.11,84.85,1.41,3.2
2025,34,15.35,85.65,3.04,2.1
2025,35,13.57,72.64,0.44,13.12
2025,36,15.25,66.71,0.14,13.86
2025,37,17.47,75.89,3.29,3.05
2025,38,15.37,82.18,4.76,1.58
2025,39,12.05,79.27,0.65,8.46
2025,40,13.16,78.72,0.23,8.12
2025,41,16.05,75.62,0.19,8.88
2025,42,19.59,77.52,0.15,16.42
2025,43,20.33,88.38,23.17,6.74
2025,44,16.29,85.98,25.17,3.43
2025,45,17.89,81.55,0.74,4.92
2025,46,20.46,88.01,1.45,13.53
2025,47,18.19,83.35,1.1,10.31
2025,48,17.98,66.52,0.05,13.64
2025,49,17.17,78.02,0.89,2.67
2025,50,17.47,77.24,1.62,3.92
2025,51,19.44,79.41,3.07,2.94
2025,52,17.16,86.96,3.28,3.58
2025,53,17.46,81.62,1.95,3.26
2025,54,16.61,85.12,5.65,2.71
2025,55,14.84,80.88,1.2,2.22
2025,56,17.18,72.89,0.03,13.06
2025,57,19.02,77.09,1.01,6.14
2025,58,20.35,80.04,0.72,8.49
2025,59,21.87,84.65,0.12,20.06
2025,60,22.34,87.54,0.39,18.23
2025,61,23.04,91.37,0.55,15.6
2025,62,23.55,91.01,3.97,8.02
2025,63,21.29,92.17,55.96,7.38
2025,64,18.28,87.36,14.2,4.45
2025,65,16.73,84.25,15.39,3.39
2025,66,16.46,77.14,1.38,4.15
2025,67,17.5,79.98,1.68,6.19
2025,68,18.39,79.53,0.12,9.44
2025,69,20.63,82.02,0.4,12.69
2025,70,21.9,87.45,0.47,15.57
2025,71,23.08,86.56,2.23,16.09
2025,72,21.64,90.5,59.64,10.52
2025,73,21.39,92.13,20.42,5.39
2025,74,19.29,89.59,13.77,3.59
2025,75,15.43,79.1,7.89,13.43
2025,76,14.58,72.79,1.33,8.54
2025,77,15.61,66.9,7.68,18.16
2025,78,15.86,73.77,2.99,17.0
2025,79,16.4,66.8,0.19,23.55
2025,80,18.04,56.52,0.0,24.03
2025,81,19.08,66.37,0.0,24.49
2025,82,21.08,69.47,0.07,23.85
2025,83,22.03,73.36,0.04,21.51
2025,84,22.95,83.84,0.04,21.57
2025,85,24.14,87.86,0.14,20.84
2025,86,25.37,85.67,0.14,17.57
2025,87,18.84,85.45,3.7,3.37
2025,88,16.88,84.95,8.15,2.45
2025,89,17.35,87.75,18.96,2.13
2025,90,18.13,88.36,33.57,3.69
2025,91,16.72,86.15,8.84,5.48
2025,92,16.85,73.66,0.06,20.09
2025,93,19.53,66.62,0.03,17.71
2025,94,20.78,68.77,0.02,19.19
2025,95,20.52,78.93,8.37,3.55
2025,96,19.97,82.81,3.74,17.59
2025,97,21.9,76.77,2.29,19.56
2025,98,23.35,83.13,8.62,14.45
2025,99,23.35,84.34,17.94,18.7
2025,100,22.49,89.64,33.57,6.44
2025,101,23.23,85.76,0.59,22.65
2025,102,23.97,84.65,20.57,5.37
2025,103,17.62,59.09,3.54,16.54
2025,104,22.91,59.14,0.0,25.3
2025,105,22.36,75.96,0.06,25.25
2025,106,23.41,80.02,1.68,24.8
2025,107,24.26,84.39,4.92,18.67
2025,108,25.11,89.42,6.77,14.12
2025,109,25.2,92.62,14.01,18.52
2025,110,25.58,86.82,5.88,13.93
2025,111,25.5,91.19,1.31,21.17
2025,112,27.26,80.62,0.11,23.68
2025,113,24.87,88.46,8.48,7.18
2025,114,23.61,89.32,17.3,3.75
2025,115,23.29,88.53,11.88,3.15
2025,116,22.57,87.55,11.59,2.94
2025,117,25.04,82.86,4.78,17.52
2025,118,23.0,82.35,10.21,11.33
2025,119,22.44,73.4,0.0,26.44
2025,120,23.88,76.69,0.23,25.04
2025,121,24.74,81.17,0.97,8.72
2025,122,24.72,82.77,0.13,25.38
2025,123,25.08,83.96,4.08,19.56
2025,124,24.76,87.34,3.6,12.33
2025,125,26.05,86.83,0.81,17.23
2025,126,25.38,85.5,13.0,16.68
2025,127,23.87,79.93,9.11,6.67
2025,128,25.09,88.86,2.88,18.37
2025,129,26.76,91.01,4.05,18.26
2025,130,24.18,89.93,38.82,12.38
2025,131,21.83,84.8,23.01,3.53
2025,132,23.08,74.25,0.72,17.79
2025,133,24.95,82.42,1.25,26.75
2025,134,25.9,86.21,2.4,27.72
2025,135,26.32,86.79,2.09,26.99
2025,136,27.0,85.53,11.71,25.61
2025,137,27.61,88.95,12.76,23.31
2025,138,27.74,88.95,10.85,16.86
