交易日期,種類代碼,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
115.05.23,N05,rest,休市,400,台中市,0,0,0,0,0
115.05.23,N05,rest,休市,514,溪湖鎮,0,0,0,0,0
115.05.23,N05,rest,休市,700,台南市場,0,0,0,0,0
115.05.23,N05,rest,休市,800,高雄市,0,0,0,0,0
115.05.22,N05,11,椰子,104,台北二,21.4,18.5,14.6,18.3,2650
115.05.22,N05,41,梅,104,台北二,60,60,60,60,360
115.05.22,N05,43,桑椹,104,台北二,68,68,68,68,96
115.05.22,N05,459,草莓-進口,104,台北二,222.2,222.2,222.2,222.2,21
115.05.22,N05,469,藍莓-進口,104,台北二,333.3,235.1,95,226.7,262
115.05.22,N05,50,百香果-其他,104,台北二,200,196.1,180,193.7,342
115.05.22,N05,51,百香果-改良種,104,台北二,197.7,74.7,33.7,91.1,2293
115.05.22,N05,70,小番茄-其他,104,台北二,113.2,52.8,46.7,63.7,642
115.05.22,N05,72,小番茄-聖女,104,台北二,74.9,58.8,36.4,57.5,5575
115.05.22,N05,74,小番茄-玉女,104,台北二,299.5,115,52.4,139.4,1944
115.05.22,N05,811,紅龍果-白肉,104,台北二,145,145,145,145,8
115.05.22,N05,812,紅龍果-紅肉,104,台北二,154.2,115.7,71.1,114.5,2023
115.05.22,N05,813,紅龍果-雙色紅龍果,104,台北二,134.5,88.1,65,92.8,104
115.05.22,N05,839,櫻桃-進口,104,台北二,293.3,293.3,293.3,293.3,50
115.05.22,N05,859,榴槤-進口,104,台北二,141.7,82,80,93.5,4850
115.05.22,N05,91,其他,104,台北二,67.4,40.3,28,43.3,361
115.05.22,N05,919,其他-進口,104,台北二,373.3,373.3,373.3,373.3,100
115.05.22,N05,A0,香蕉-其他,104,台北二,7,5.3,5,5.6,66
115.05.22,N05,A1,香蕉,104,台北二,39.5,25,16.9,26.3,16136
115.05.22,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,61.5,43.3,22.8,42.8,4391
115.05.22,N05,A3,香蕉-旦蕉,104,台北二,43.9,28.6,24.5,30.8,152
115.05.22,N05,A4,香蕉-越旦,104,台北二,41.6,22,18.3,25.2,1150
115.05.22,N05,B2,鳳梨-金鑽鳳梨,104,台北二,34.8,24.6,18.6,25.5,36342
