year,type,category,category_name,status,num_weight,pic
102,蔬菜類,蘿蔔,蘿蔔、婆羅門參及類似食用根菜(生鮮或冷藏),進口,25905469,208575
103,蔬菜類,蘿蔔,蘿蔔、婆羅門參及類似食用根菜(生鮮或冷藏),進口,24501427,195781
102,蔬菜類,胡蘿蔔,胡蘿蔔及蕪菁(生鮮或冷藏),出口,8435733,91281
102,蔬菜類,胡蘿蔔,蘿蔔、婆羅門參及類似食用根菜(生鮮或冷藏),進口,1692688,31205
103,蔬菜類,胡蘿蔔,胡蘿蔔及蕪菁(生鮮或冷藏),進口,853938,22162
102,蔬菜類,胡蘿蔔,胡蘿蔔(冷凍),進口,280156,8400
103,蔬菜類,胡蘿蔔,胡蘿蔔(冷凍),進口,446844,12699
102,蔬菜類,馬鈴薯,馬鈴薯(生鮮或冷藏),進口,20985713,250182
102,蔬菜類,馬鈴薯,馬鈴薯(冷凍),進口,2320297,65422
102,蔬菜類,馬鈴薯,馬鈴薯澱粉,進口,39706000,894068
102,蔬菜類,馬鈴薯,馬鈴薯(酸漬除外之調製或保藏),進口,52975338,2128080
102,蔬菜類,馬鈴薯,馬鈴薯(細片磨粉及其細粒),進口,2062205,99694
103,蔬菜類,馬鈴薯,馬鈴薯(生鮮或冷藏),進口,14514051,180022
103,蔬菜類,馬鈴薯,馬鈴薯(冷凍),進口,1596204,51168
103,蔬菜類,馬鈴薯,馬鈴薯澱粉,進口,25082000,667774
103,蔬菜類,馬鈴薯,馬鈴薯(酸漬除外之調製或保藏),進口,52689068,2137089
103,蔬菜類,馬鈴薯,馬鈴薯(細片磨粉及其細粒),進口,1739066,82530
102,蔬菜類,洋蔥,洋蔥(生鮮或冷藏),進口,6215891,622744
102,蔬菜類,洋蔥,乾洋蔥,進口,320126,20185
102,蔬菜類,洋蔥,洋蔥(醋或醋酸調製或保藏),進口,14761,1296
102,蔬菜類,洋蔥,洋蔥種子,進口,5921,22883
103,蔬菜類,洋蔥,洋蔥(生鮮或冷藏),進口,48426720,516390
103,蔬菜類,洋蔥,乾洋蔥,進口,488474,26629
103,蔬菜類,洋蔥,洋蔥(醋或醋酸調製或保藏),進口,12989,1095
103,蔬菜類,洋蔥,洋蔥種子,進口,4781,22139
102,蔬菜類,洋菇,洋菇(生鮮或冷藏),進口,39827,3079
102,蔬菜類,洋菇,洋菇(冷凍),進口,2812,1539
102,蔬菜類,洋菇,乾洋菇,進口,3824,482
102,蔬菜類,洋菇,洋菇(暫時保藏),進口,664644,27279
103,蔬菜類,洋菇,洋菇(生鮮或冷藏),進口,131012,10309
103,蔬菜類,洋菇,洋菇(冷凍),進口,2928,1450
