交易日期,作物代號,作物名稱,市場代號,市場名稱,交易金額_元,交易量_公斤,溯源代號
2026-05-22,11,椰子,104,台北二,48687,2656,X
2026-05-22,41,梅,104,台北二,21600,360,X
2026-05-22,43,桑椹,104,台北二,6528,96,X
2026-05-22,469,藍莓-進口,104,台北二,7600,80,X
2026-05-22,50,百香果-其他,104,台北二,66240,342,X
2026-05-22,51,百香果-改良種,104,台北二,64620,324,7
2026-05-22,51,百香果-改良種,104,台北二,150464,1999,X
2026-05-22,70,小番茄-其他,104,台北二,40884,642,X
2026-05-22,72,小番茄-聖女,104,台北二,322700,5605,X
2026-05-22,74,小番茄-玉女,104,台北二,270916,1944,X
2026-05-22,811,紅龍果-白肉,104,台北二,1160,8,X
2026-05-22,812,紅龍果-紅肉,104,台北二,6300,90,7
2026-05-22,812,紅龍果-紅肉,104,台北二,225312,1933,X
2026-05-22,813,紅龍果-雙色紅龍果,104,台北二,9650,104,X
2026-05-22,859,榴槤-進口,104,台北二,46000,330,X
2026-05-22,91,其他,104,台北二,15630,361,X
2026-05-22,A0,香蕉-其他,104,台北二,572,83,X
2026-05-22,A1,香蕉,104,台北二,170535,5475,7
2026-05-22,A1,香蕉,104,台北二,213683,9652,X
2026-05-22,A2,香蕉-芭蕉紅芭蕉,104,台北二,187082,4370,X
2026-05-22,A3,香蕉-旦蕉,104,台北二,4685,152,X
2026-05-22,A4,香蕉-越旦,104,台北二,28989,1150,X
2026-05-22,B2,鳳梨-金鑽鳳梨,104,台北二,50076,1454,4
2026-05-22,B2,鳳梨-金鑽鳳梨,104,台北二,72376,2680,7
2026-05-22,B2,鳳梨-金鑽鳳梨,104,台北二,801990,32158,X
2026-05-22,B6,鳳梨-甜蜜蜜,104,台北二,106575,3746,X
2026-05-22,C2,茂谷柑,104,台北二,49356,1160,X
2026-05-22,F0,雜柑-其他,104,台北二,540,12,X
2026-05-22,F1,雜柑-檸檬,104,台北二,71015,1185,X
2026-05-22,F4,雜柑-桔子,104,台北二,18870,167,X
2026-05-22,F5,雜柑-無子檸檬,104,台北二,148930,1916,X
2026-05-22,F6,雜柑-黃金檸檬,104,台北二,4640,53,X
2026-05-22,FA1,黃秋葵,104,台北二,138165,3104,X
2026-05-22,FB1,花椰菜-青梗,104,台北二,130539,3993,X
2026-05-22,FC1,胡瓜-黑刺,104,台北二,6908,514,7
2026-05-22,FC1,胡瓜-黑刺,104,台北二,135521,9027,X
2026-05-22,FD0,花胡瓜-其他,104,台北二,10800,144,4
2026-05-22,FD0,花胡瓜-其他,104,台北二,3732,96,7
