uri,label_zh,label_en,label_es,label_fr,broader_links
http://aims.fao.org/aos/agrovoc/c_4788,方法,methods,Método,méthode,0
http://aims.fao.org/aos/agrovoc/c_2208,设计,design,Diseño,conception,0
http://aims.fao.org/aos/agrovoc/c_433,家畜饲养方法,animal husbandry methods,Método de crianza,méthode d'élevage,0
http://aims.fao.org/aos/agrovoc/c_3965,隔离技术,isolation techniques,Técnica de aislamiento,technique de l'isolement,0
http://aims.fao.org/aos/agrovoc/c_27596,繁殖控制,reproduction control,Reproducción dirigida,maîtrise de la reproduction,0
http://aims.fao.org/aos/agrovoc/c_432,畜禽舍,animal housing,Alojamiento del animal,logement des animaux,0
http://aims.fao.org/aos/agrovoc/c_25746,畜牧设备,animal husbandry equipment,Equipo de crianza,matériel d'élevage,0
http://aims.fao.org/aos/agrovoc/c_1375,阉割,castration,Castración,castration,0
http://aims.fao.org/aos/agrovoc/c_6075,断角术,dehorning,Descorne,écornage,0
http://aims.fao.org/aos/agrovoc/c_7020,遮荫,shading,Umbría,ombrage,0
http://aims.fao.org/aos/agrovoc/c_14228,性别诊断,sex diagnosis,Diagnóstico del sexo,sexage,0
http://aims.fao.org/aos/agrovoc/c_15980,生长控制,growth control,Control del crecimiento,contrôle de croissance,0
http://aims.fao.org/aos/agrovoc/c_25756,标记,marking,Marcado,marquage,0
http://aims.fao.org/aos/agrovoc/c_26813,饲养技术,rearing techniques,Técnica de crianza,technique d'élevage,0
http://aims.fao.org/aos/agrovoc/c_29461,饲养系统,rearing systems,Sistema de cría,système d'élevage,0
http://aims.fao.org/aos/agrovoc/c_32674,诱导泌乳,induced lactation,Lactación inducida,induction de la lactation,0
http://aims.fao.org/aos/agrovoc/c_35112,催情补饲,flushing,Flushing,flushing,0
http://aims.fao.org/aos/agrovoc/c_36922,采精,semen collection,Recolección de semen,récolte de sperme,0
http://aims.fao.org/aos/agrovoc/c_638,人工授精,artificial insemination,Inseminación artificial,insémination artificielle,0
http://aims.fao.org/aos/agrovoc/c_6961,精液,semen,Semen,sperme,0
http://aims.fao.org/aos/agrovoc/c_27558,体外受精,in vitro fertilization,Fecundación in vitro,fécondation in vitro,0
http://aims.fao.org/aos/agrovoc/c_6962,精液保存,semen preservation,Conservación del semen,conservation du sperme,0
http://aims.fao.org/aos/agrovoc/c_828,隔离管理,barrier husbandry,Crianza protegida,élevage protégé,0
http://aims.fao.org/aos/agrovoc/c_2497,人工孵化,egg incubation,Incubación de huevos,accouvage,0
http://aims.fao.org/aos/agrovoc/c_2764,粗放饲养,extensive husbandry,Ganadería extensiva,élevage extensif,0
http://aims.fao.org/aos/agrovoc/c_16144,畜牧,pastoralism,Pastoralismo,pastoralisme,0
http://aims.fao.org/aos/agrovoc/c_3087,放牧饲养,free range husbandry,Crianza libre,élevage en liberté,0
http://aims.fao.org/aos/agrovoc/c_12844,游牧农业,nomadic husbandry,Cría de animales nómada,élevage nomade,0
http://aims.fao.org/aos/agrovoc/c_2842,饲养场,feedlots,Feedlot,feedlot,0
