CROP_UID,CNAME,ALIAS_CNAME,SRC_SYS_ID,SRC_NAME,SRC_ID,SRC_CNAME
01003118004000000,景觀小油菊,,PQR,溯源農糧產品追溯系統,004005005,小油菊
01003118004000000,景觀小油菊,,FFR,全國糧政跨區即時申辦服務作業平台,528,小油菊
01003118003000000,景觀萬壽菊,,PQR,溯源農糧產品追溯系統,004005019,萬壽菊
01003118003000000,景觀萬壽菊,,MAM,農產品批發市場交易行情站,FW210,孔雀混色
01003118003000000,景觀萬壽菊,,MAM,農產品批發市場交易行情站,FW200,孔雀草
01003118003000000,景觀萬壽菊,,FFR,全國糧政跨區即時申辦服務作業平台,531,萬壽菊
01003118002000000,景觀波斯菊,,MAM,農產品批發市場交易行情站,FH301,波斯菊
01003118002000000,景觀波斯菊,,FFR,全國糧政跨區即時申辦服務作業平台,994,景觀波斯菊
01003118001000000,景觀向日葵,,PQR,溯源農糧產品追溯系統,007001006,景觀向日葵
01003118001000000,景觀向日葵,,FFR,全國糧政跨區即時申辦服務作業平台,993,景觀向日葵(綠肥)
01003118001000000,景觀向日葵,,FFR,全國糧政跨區即時申辦服務作業平台,544,景觀向日葵
01003118001000000,景觀向日葵,,FFR,全國糧政跨區即時申辦服務作業平台,524,景觀向日葵(地特)
01003000999000000,其他景觀作物,,PSC,農糧產品產銷供應鏈整合服務平台,07,草皮類
01003000999000000,其他景觀作物,,PSC,農糧產品產銷供應鏈整合服務平台,07,綠肥作物
01003000999000000,其他景觀作物,,PQR,溯源農糧產品追溯系統,004007999,草皮類未分類
01003000999000000,其他景觀作物,,PQR,溯源農糧產品追溯系統,004007003,百慕達草
01003000999000000,其他景觀作物,,PQR,溯源農糧產品追溯系統,004007002,假檢草
01003000999000000,其他景觀作物,,PQR,溯源農糧產品追溯系統,004007001,朝鮮草
01003000999000000,其他景觀作物,,PQR,溯源農糧產品追溯系統,004005998,其他景觀作物
01003000999000000,其他景觀作物,,PQR,溯源農糧產品追溯系統,004005018,草花
01003000999000000,其他景觀作物,,PMG,農業產銷班組織體系資料服務系統,273,庭園用草皮          
01003000999000000,其他景觀作物,,PMG,農業產銷班組織體系資料服務系統,272,庭園花木            
01003000999000000,其他景觀作物,,PFB,農產業天然災害現金救助系統,947,草皮
01003000999000000,其他景觀作物,,FFR,全國糧政跨區即時申辦服務作業平台,9AJ,玉龍草
01003000999000000,其他景觀作物,,FFR,全國糧政跨區即時申辦服務作業平台,530,其他景觀作物
01003000999000000,其他景觀作物,,FFR,全國糧政跨區即時申辦服務作業平台,523,景觀作物
01003000999000000,其他景觀作物,,FFR,全國糧政跨區即時申辦服務作業平台,4AE,地毯草
01003000999000000,其他景觀作物,,FFR,全國糧政跨區即時申辦服務作業平台,256,臺北草
01003000999000000,其他景觀作物,,FFR,全國糧政跨區即時申辦服務作業平台,255,假儉草
01003000999000000,其他景觀作物,,FFR,全國糧政跨區即時申辦服務作業平台,254,百慕達草
01003000999000000,其他景觀作物,,FFR,全國糧政跨區即時申辦服務作業平台,253,朝鮮草
01003000000000000,景觀類,,PMG,農業產銷班組織體系資料服務系統,257,草花                
01003000000000000,景觀類,,FFR,全國糧政跨區即時申辦服務作業平台,532,景觀(地區特產)
01002044012000000,魯冰,,PQR,溯源農糧產品追溯系統,007001013,魯冰
01002044012000000,魯冰,,PAR,農糧情調查作業資訊系統,138,魯冰
01002044012000000,魯冰,,FFR,全國糧政跨區即時申辦服務作業平台,505,羽扇豆(魯冰)
01002044011000000,青皮豆,,PQR,溯源農糧產品追溯系統,007001012,青皮豆
01002044011000000,青皮豆,,PAR,農糧情調查作業資訊系統,146,青皮豆
