year,type,category,plant_pic,total_avg_pic,total_yield,market,avg_pic,yield
102,蔬菜類,蘿蔔,10.87,10.70,53996,台北二,10.70,6248
102,蔬菜類,蘿蔔,10.87,10.70,53996,台北一,11.50,19620
102,蔬菜類,蘿蔔,10.87,10.70,53996,三重區,7.70,1861
102,蔬菜類,蘿蔔,10.87,10.70,53996,宜蘭市,7.50,255
102,蔬菜類,蘿蔔,10.87,10.70,53996,桃園縣 ,11.20,616
102,蔬菜類,蘿蔔,10.87,10.70,53996,台中市,8.40,1822
102,蔬菜類,蘿蔔,10.87,10.70,53996,溪湖鎮,9.20,1661
102,蔬菜類,蘿蔔,10.87,10.70,53996,南投市,8.20,277
102,蔬菜類,蘿蔔,10.87,10.70,53996,西螺鎮,9.70,14180
102,蔬菜類,蘿蔔,10.87,10.70,53996,高雄市,16.80,2260
102,蔬菜類,蘿蔔,10.87,10.70,53996,鳳山市,9.90,927
102,蔬菜類,蘿蔔,10.87,10.70,53996,屏東市,10.80,2866
102,蔬菜類,蘿蔔,10.87,10.70,53996,台東市,10.80,648
102,蔬菜類,蘿蔔,10.87,10.70,53996,花蓮市,9.10,755
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,台北二,16.10,3966
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,台北一,15.90,11187
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,三重區,11.10,1305
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,宜蘭市,15.50,0
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,桃園縣 ,14.60,680
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,台中市,13.40,1660
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,溪湖鎮,11.30,919
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,西螺鎮,18.50,12341
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,高雄市,17.70,3179
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,鳳山市,12.30,1855
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,屏東市,15.80,3109
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,台東市,17.30,225
102,蔬菜類,胡蘿蔔,15.93,16.30,32123,花蓮市,12.80,0
102,蔬菜類,馬鈴薯,20.89,24.00,13472,台北二,24.10,1637
102,蔬菜類,馬鈴薯,20.89,24.00,13472,台北一,23.40,3482
102,蔬菜類,馬鈴薯,20.89,24.00,13472,三重區,19.40,208
102,蔬菜類,馬鈴薯,20.89,24.00,13472,桃園縣 ,20.70,130
102,蔬菜類,馬鈴薯,20.89,24.00,13472,台中市,19.10,320
102,蔬菜類,馬鈴薯,20.89,24.00,13472,西螺鎮,25.00,5828
102,蔬菜類,馬鈴薯,20.89,24.00,13472,高雄市,26.90,902
102,蔬菜類,馬鈴薯,20.89,24.00,13472,鳳山區,19.50,394
102,蔬菜類,馬鈴薯,20.89,24.00,13472,屏東市,20.40,490
102,蔬菜類,馬鈴薯,20.89,24.00,13472,台東市,25.60,79
102,蔬菜類,洋蔥,17.01,19.60,21737,台北二,20.90,2836
102,蔬菜類,洋蔥,17.01,19.60,21737,台北一,21.00,6727
102,蔬菜類,洋蔥,17.01,19.60,21737,三重區,14.20,311
102,蔬菜類,洋蔥,17.01,19.60,21737,宜蘭市,14.80,123
102,蔬菜類,洋蔥,17.01,19.60,21737,桃園縣 ,15.90,208
102,蔬菜類,洋蔥,17.01,19.60,21737,台中市,16.60,980
102,蔬菜類,洋蔥,17.01,19.60,21737,溪湖鎮,19.10,284
102,蔬菜類,洋蔥,17.01,19.60,21737,西螺鎮,19.60,6063
